1, 16.83980655670166,			1.3269,1.322,1.3106,1.3304,1.3208,1.3175,-0.0057
2, 16.83980655670166,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3202,0.0009
3, 16.83980655670166,			1.2864,1.3555,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 16.83980655670166,			-0.0014,-2.7468,1.3207,1.3248,1.3206,1.3165,0.0004
5, 16.83980655670166,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.32,0.0005
6, 16.83980655670166,			1.3216,1.3283,1.3208,1.321,1.3241,1.3059,-0.0051
7, 16.83980655670166,			-5.4802,4.0208,-1.3396,4.0295,-1.2087,2.5339,-0.0003
0, 19.021305322647095,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 19.021305322647095,			1.3269,1.322,1.3157,1.3203,1.3259,1.3175,-0.0057
2, 19.021305322647095,			1.3313,1.3154,1.3266,1.3146,1.3183,1.3202,0.0009
3, 19.021305322647095,			1.2864,1.3555,2.7423,-0.0971,1.3058,1.2864,0.0559
4, 19.021305322647095,			-0.0014,-2.752,1.3207,1.3248,1.3206,1.3165,0.0004
5, 19.021305322647095,			-4.0718,1.3168,1.3277,1.3245,1.3211,1.32,0.0005
6, 19.021305322647095,			1.3216,1.3283,1.3208,1.321,1.3292,1.3058,-0.0102
7, 19.021305322647095,			-5.4751,4.0157,-1.3294,4.0244,-1.2138,2.5339,-0.0003
0, 21.168957471847534,			1.3275,1.3238,1.3295,1.3178,1.3199,1.3296,0.0014
1, 21.168957471847534,			1.3218,1.322,1.3157,1.3203,1.3259,1.3175,-0.0057
2, 21.168957471847534,			1.3262,1.3103,1.3266,1.3197,1.3183,1.3202,0.006
3, 21.168957471847534,			1.2864,1.3504,2.7525,-0.1022,1.3007,1.2915,0.0559
4, 21.168957471847534,			-0.0014,-2.7468,1.3207,1.3248,1.3155,1.3216,0.0004
5, 21.168957471847534,			-4.0718,1.3168,1.3226,1.3245,1.3211,1.32,0.0005
6, 21.168957471847534,			1.3216,1.3283,1.3208,1.3159,1.3292,1.3059,-0.0051
7, 21.168957471847534,			-5.4853,4.0208,-1.3396,4.0295,-1.2138,2.539,-0.0003
0, 23.204275608062744,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 23.204275608062744,			1.3218,1.322,1.3157,1.3253,1.3208,1.3175,-0.0057
2, 23.204275608062744,			1.3262,1.3103,1.3266,1.3146,1.3234,1.3253,-0.0042
3, 23.204275608062744,			1.2864,1.3555,2.7474,-0.0971,1.3007,1.2864,0.061
4, 23.204275608062744,			-0.0014,-2.7469,1.3156,1.3197,1.3206,1.3216,0.0004
5, 23.204275608062744,			-4.0667,1.3168,1.3226,1.3245,1.3211,1.3149,0.0056
6, 23.204275608062744,			1.3216,1.3283,1.3208,1.321,1.3241,1.311,-0.0102
7, 23.204275608062744,			-5.4751,4.0208,-1.3396,4.0295,-1.2138,2.539,-0.0003
0, 25.390814065933228,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 25.390814065933228,			1.3218,1.3169,1.3157,1.3253,1.3208,1.3176,-0.0006
2, 25.390814065933228,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3202,0.0009
3, 25.390814065933228,			1.2915,1.3504,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 25.390814065933228,			-0.0065,-2.7418,1.3156,1.3248,1.3206,1.3216,-0.0047
5, 25.390814065933228,			-4.0718,1.3168,1.3226,1.3245,1.3211,1.3149,0.0005
